# eta lambda l= m to 9 (computed with gyre.eval_lambda)
0.74000 5.0568117122e+00 1.2215777294e+01 2.2566594558e+01 3.5983323959e+01 5.2380135548e+01 7.1700956738e+01 9.3909021565e+01 1.1897993850e+02
0.76000 5.0413381671e+00 1.2260593806e+01 2.2757766425e+01 3.6410237640e+01 5.3130516924e+01 7.2859532850e+01 9.5557419128e+01 1.2119702607e+02
0.78000 5.0262102525e+00 1.2307231167e+01 2.2956577194e+01 3.6856827852e+01 5.3919923579e+01 7.4084362418e+01 9.7307397018e+01 1.2355911814e+02
0.80000 5.0114184773e+00 1.2355680501e+01 2.3163159906e+01 3.7323727022e+01 5.4750069994e+01 7.5379033203e+01 9.9165381514e+01 1.2607657461e+02
0.82000 4.9969536567e+00 1.2405933271e+01 2.3377648747e+01 3.7811578375e+01 5.5622718021e+01 7.6747273707e+01 1.0113812999e+02 1.2876041983e+02
0.84000 4.9828069006e+00 1.2457981227e+01 2.3600178531e+01 3.8321033070e+01 5.6539667425e+01 7.8192931198e+01 1.0323269176e+02 1.3162228738e+02
0.86000 4.9689696029e+00 1.2511816360e+01 2.3830884159e+01 3.8852746928e+01 5.7502744272e+01 7.9719942343e+01 1.0545634969e+02 1.3467432413e+02
0.88000 4.9554334301e+00 1.2567430859e+01 2.4069900049e+01 3.9407376760e+01 5.8513787051e+01 8.1332295651e+01 1.0781653944e+02 1.3792904399e+02
0.90000 4.9421903115e+00 1.2624817060e+01 2.4317359539e+01 3.9985576317e+01 5.9574630505e+01 8.3033985172e+01 1.1032074349e+02 1.4139912214e+02
0.92000 4.9292324292e+00 1.2683967413e+01 2.4573394274e+01 4.0587991860e+01 6.0687087206e+01 8.4828955354e+01 1.1297635869e+02 1.4509712325e+02
0.94000 4.9165522089e+00 1.2744874439e+01 2.4838133571e+01 4.1215257422e+01 6.1852927084e+01 8.6721037542e+01 1.1579053771e+02 1.4903516239e+02
0.96000 4.9041423109e+00 1.2807530692e+01 2.5111703779e+01 4.1867989800e+01 6.3073855237e+01 8.8713879377e+01 1.1877000789e+02 1.5322450546e+02
0.98000 4.8919956216e+00 1.2871928727e+01 2.5394227627e+01 4.2546783363e+01 6.4351488531e+01 9.0810869277e+01 1.2192087453e+02 1.5767512735e+02
