# eta lambda l= m to 9 (computed with gyre.eval_lambda)
23.88000 4.0421891170e+00 6.7040116511e+02 5.2339861300e+03 1.4354386617e+04 2.8034583048e+04 4.6274759600e+04 6.9074951783e+04 9.6435170247e+04
23.90000 4.0421535644e+00 6.7143665796e+02 5.2426664239e+03 1.4378356472e+04 2.8081487294e+04 4.6352243044e+04 6.9190659230e+04 9.6596746499e+04
23.92000 4.0421180716e+00 6.7247295100e+02 5.2513539180e+03 1.4402346327e+04 2.8128430740e+04 4.6429791289e+04 6.9306463477e+04 9.6758457951e+04
23.94000 4.0420826385e+00 6.7351004422e+02 5.2600486123e+03 1.4426356183e+04 2.8175413386e+04 4.6507404334e+04 6.9422364525e+04 9.6920304604e+04
23.96000 4.0420472650e+00 6.7454793761e+02 5.2687505067e+03 1.4450386038e+04 2.8222435232e+04 4.6585082179e+04 6.9538362372e+04 9.7082286457e+04
23.98000 4.0420119508e+00 6.7558663119e+02 5.2774596014e+03 1.4474435894e+04 2.8269496278e+04 4.6662824825e+04 6.9654457020e+04 9.7244403510e+04
24.00000 4.0419766959e+00 6.7662612495e+02 5.2861758962e+03 1.4498505751e+04 2.8316596525e+04 4.6740632270e+04 6.9770648469e+04 9.7406655763e+04
24.02000 4.0419415001e+00 6.7766641888e+02 5.2948993912e+03 1.4522595607e+04 2.8363735972e+04 4.6818504516e+04 6.9886936717e+04 9.7569043216e+04
24.04000 4.0419063632e+00 6.7870751300e+02 5.3036300864e+03 1.4546705464e+04 2.8410914619e+04 4.6896441563e+04 7.0003321766e+04 9.7731565870e+04
24.06000 4.0418712851e+00 6.7974940729e+02 5.3123679817e+03 1.4570835321e+04 2.8458132467e+04 4.6974443409e+04 7.0119803615e+04 9.7894223724e+04
24.08000 4.0418362657e+00 6.8079210176e+02 5.3211130773e+03 1.4594985178e+04 2.8505389515e+04 4.7052510056e+04 7.0236382265e+04 9.8057016778e+04
24.10000 4.0418013047e+00 6.8183559640e+02 5.3298653730e+03 1.4619155036e+04 2.8552685763e+04 4.7130641503e+04 7.0353057714e+04 9.8219945033e+04
24.12000 4.0417664022e+00 6.8287989122e+02 5.3386248689e+03 1.4643344894e+04 2.8600021211e+04 4.7208837750e+04 7.0469829964e+04 9.8383008487e+04
24.14000 4.0417315578e+00 6.8392498622e+02 5.3473915650e+03 1.4667554752e+04 2.8647395860e+04 4.7287098798e+04 7.0586699014e+04 9.8546207142e+04
24.16000 4.0416967715e+00 6.8497088140e+02 5.3561654613e+03 1.4691784610e+04 2.8694809709e+04 4.7365424645e+04 7.0703664865e+04 9.8709540997e+04
24.18000 4.0416620431e+00 6.8601757675e+02 5.3649465578e+03 1.4716034468e+04 2.8742262758e+04 4.7443815293e+04 7.0820727515e+04 9.8873010053e+04
24.20000 4.0416273725e+00 6.8706507227e+02 5.3737348544e+03 1.4740304327e+04 2.8789755007e+04 4.7522270742e+04 7.0937886966e+04 9.9036614308e+04
24.22000 4.0415927595e+00 6.8811336797e+02 5.3825303512e+03 1.4764594186e+04 2.8837286457e+04 4.7600790990e+04 7.1055143217e+04 9.9200353764e+04
24.24000 4.0415582040e+00 6.8916246384e+02 5.3913330482e+03 1.4788904045e+04 2.8884857107e+04 4.7679376039e+04 7.1172496269e+04 9.9364228420e+04
24.26000 4.0415237059e+00 6.9021235989e+02 5.4001429454e+03 1.4813233905e+04 2.8932466957e+04 4.7758025888e+04 7.1289946120e+04 9.9528238277e+04
24.28000 4.0414892649e+00 6.9126305611e+02 5.4089600427e+03 1.4837583764e+04 2.8980116008e+04 4.7836740537e+04 7.1407492772e+04 9.9692383333e+04
24.30000 4.0414548811e+00 6.9231455250e+02 5.4177843402e+03 1.4861953624e+04 2.9027804258e+04 4.7915519987e+04 7.1525136224e+04 9.9856663590e+04
24.32000 4.0414205541e+00 6.9336684907e+02 5.4266158379e+03 1.4886343485e+04 2.9075531709e+04 4.7994364237e+04 7.1642876476e+04 1.0002107905e+05
24.34000 4.0413862839e+00 6.9441994580e+02 5.4354545358e+03 1.4910753345e+04 2.9123298360e+04 4.8073273287e+04 7.1760713529e+04 1.0018562970e+05
24.36000 4.0413520704e+00 6.9547384271e+02 5.4443004338e+03 1.4935183206e+04 2.9171104212e+04 4.8152247137e+04 7.1878647382e+04 1.0035031556e+05
24.38000 4.0413179133e+00 6.9652853979e+02 5.4531535321e+03 1.4959633066e+04 2.9218949263e+04 4.8231285788e+04 7.1996678035e+04 1.0051513662e+05
24.40000 4.0412838126e+00 6.9758403704e+02 5.4620138305e+03 1.4984102928e+04 2.9266833515e+04 4.8310389239e+04 7.2114805488e+04 1.0068009288e+05
24.42000 4.0412497681e+00 6.9864033446e+02 5.4708813290e+03 1.5008592789e+04 2.9314756968e+04 4.8389557490e+04 7.2233029742e+04 1.0084518434e+05
24.44000 4.0412157797e+00 6.9969743205e+02 5.4797560278e+03 1.5033102651e+04 2.9362719620e+04 4.8468790541e+04 7.2351350795e+04 1.0101041099e+05
24.46000 4.0411818473e+00 7.0075532980e+02 5.4886379267e+03 1.5057632512e+04 2.9410721473e+04 4.8548088393e+04 7.2469768649e+04 1.0117577285e+05
24.48000 4.0411479706e+00 7.0181402773e+02 5.4975270258e+03 1.5082182374e+04 2.9458762526e+04 4.8627451044e+04 7.2588283304e+04 1.0134126991e+05
24.50000 4.0411141496e+00 7.0287352583e+02 5.5064233251e+03 1.5106752237e+04 2.9506842779e+04 4.8706878496e+04 7.2706894758e+04 1.0150690217e+05
24.52000 4.0410803842e+00 7.0393382409e+02 5.5153268245e+03 1.5131342099e+04 2.9554962232e+04 4.8786370749e+04 7.2825603013e+04 1.0167266963e+05
24.54000 4.0410466741e+00 7.0499492252e+02 5.5242375241e+03 1.5155951962e+04 2.9603120886e+04 4.8865927801e+04 7.2944408068e+04 1.0183857229e+05
24.56000 4.0410130193e+00 7.0605682112e+02 5.5331554239e+03 1.5180581825e+04 2.9651318740e+04 4.8945549654e+04 7.3063309923e+04 1.0200461015e+05
24.58000 4.0409794196e+00 7.0711951988e+02 5.5420805238e+03 1.5205231688e+04 2.9699555794e+04 4.9025236307e+04 7.3182308579e+04 1.0217078321e+05
24.60000 4.0409458749e+00 7.0818301881e+02 5.5510128240e+03 1.5229901552e+04 2.9747832048e+04 4.9104987760e+04 7.3301404034e+04 1.0233709147e+05
24.62000 4.0409123850e+00 7.0924731791e+02 5.5599523242e+03 1.5254591415e+04 2.9796147503e+04 4.9184804014e+04 7.3420596290e+04 1.0250353493e+05
24.64000 4.0408789498e+00 7.1031241717e+02 5.5688990247e+03 1.5279301279e+04 2.9844502158e+04 4.9264685068e+04 7.3539885346e+04 1.0267011359e+05
24.66000 4.0408455693e+00 7.1137831660e+02 5.5778529253e+03 1.5304031144e+04 2.9892896013e+04 4.9344630922e+04 7.3659271203e+04 1.0283682745e+05
24.68000 4.0408122431e+00 7.1244501619e+02 5.5868140261e+03 1.5328781008e+04 2.9941329068e+04 4.9424641576e+04 7.3778753859e+04 1.0300367651e+05
24.70000 4.0407789713e+00 7.1351251595e+02 5.5957823271e+03 1.5353550873e+04 2.9989801324e+04 4.9504717030e+04 7.3898333316e+04 1.0317066077e+05
24.72000 4.0407457537e+00 7.1458081587e+02 5.6047578282e+03 1.5378340737e+04 3.0038312780e+04 4.9584857285e+04 7.4018009573e+04 1.0333778024e+05
24.74000 4.0407125901e+00 7.1564991595e+02 5.6137405295e+03 1.5403150602e+04 3.0086863436e+04 4.9665062340e+04 7.4137782631e+04 1.0350503490e+05
24.76000 4.0406794805e+00 7.1671981620e+02 5.6227304310e+03 1.5427980468e+04 3.0135453292e+04 4.9745332195e+04 7.4257652488e+04 1.0367242476e+05
24.78000 4.0406464246e+00 7.1779051661e+02 5.6317275326e+03 1.5452830333e+04 3.0184082349e+04 4.9825666851e+04 7.4377619146e+04 1.0383994982e+05
24.80000 4.0406134224e+00 7.1886201718e+02 5.6407318344e+03 1.5477700199e+04 3.0232750606e+04 4.9906066306e+04 7.4497682604e+04 1.0400761008e+05
24.82000 4.0405804737e+00 7.1993431792e+02 5.6497433364e+03 1.5502590065e+04 3.0281458063e+04 4.9986530562e+04 7.4617842862e+04 1.0417540555e+05
24.84000 4.0405475784e+00 7.2100741881e+02 5.6587620385e+03 1.5527499931e+04 3.0330204720e+04 5.0067059619e+04 7.4738099921e+04 1.0434333621e+05
24.86000 4.0405147364e+00 7.2208131987e+02 5.6677879408e+03 1.5552429798e+04 3.0378990578e+04 5.0147653475e+04 7.4858453779e+04 1.0451140207e+05
24.88000 4.0404819475e+00 7.2315602109e+02 5.6768210432e+03 1.5577379664e+04 3.0427815635e+04 5.0228312132e+04 7.4978904438e+04 1.0467960314e+05
24.90000 4.0404492116e+00 7.2423152247e+02 5.6858613459e+03 1.5602349531e+04 3.0476679893e+04 5.0309035588e+04 7.5099451897e+04 1.0484793940e+05
24.92000 4.0404165286e+00 7.2530782400e+02 5.6949088487e+03 1.5627339398e+04 3.0525583352e+04 5.0389823846e+04 7.5220096157e+04 1.0501641086e+05
24.94000 4.0403838983e+00 7.2638492570e+02 5.7039635516e+03 1.5652349265e+04 3.0574526010e+04 5.0470676903e+04 7.5340837216e+04 1.0518501753e+05
24.96000 4.0403513207e+00 7.2746282756e+02 5.7130254547e+03 1.5677379133e+04 3.0623507869e+04 5.0551594760e+04 7.5461675076e+04 1.0535375939e+05
24.98000 4.0403187956e+00 7.2854152957e+02 5.7220945580e+03 1.5702429001e+04 3.0672528928e+04 5.0632577418e+04 7.5582609736e+04 1.0552263645e+05
25.00000 4.0402863228e+00 7.2962103175e+02 5.7311708614e+03 1.5727498869e+04 3.0721589187e+04 5.0713624876e+04 7.5703641196e+04 1.0569164872e+05
25.02000 4.0402539023e+00 7.3070133408e+02 5.7402543650e+03 1.5752588737e+04 3.0770688646e+04 5.0794737135e+04 7.5824769457e+04 1.0586079618e+05
25.04000 4.0402215339e+00 7.3178243657e+02 5.7493450688e+03 1.5777698605e+04 3.0819827306e+04 5.0875914193e+04 7.5945994518e+04 1.0603007885e+05
25.06000 4.0401892175e+00 7.3286433921e+02 5.7584429727e+03 1.5802828474e+04 3.0869005166e+04 5.0957156052e+04 7.6067316379e+04 1.0619949671e+05
25.08000 4.0401569529e+00 7.3394704202e+02 5.7675480768e+03 1.5827978343e+04 3.0918222226e+04 5.1038462711e+04 7.6188735040e+04 1.0636904978e+05
25.10000 4.0401247401e+00 7.3503054498e+02 5.7766603810e+03 1.5853148212e+04 3.0967478486e+04 5.1119834170e+04 7.6310250501e+04 1.0653873805e+05
25.12000 4.0400925789e+00 7.3611484809e+02 5.7857798854e+03 1.5878338081e+04 3.1016773947e+04 5.1201270429e+04 7.6431862763e+04 1.0670856151e+05
25.14000 4.0400604692e+00 7.3719995137e+02 5.7949065899e+03 1.5903547951e+04 3.1066108608e+04 5.1282771489e+04 7.6553571825e+04 1.0687852018e+05
25.16000 4.0400284109e+00 7.3828585479e+02 5.8040404946e+03 1.5928777820e+04 3.1115482469e+04 5.1364337349e+04 7.6675377687e+04 1.0704861404e+05
25.18000 4.0399964039e+00 7.3937255837e+02 5.8131815995e+03 1.5954027690e+04 3.1164895530e+04 5.1445968009e+04 7.6797280349e+04 1.0721884311e+05
25.20000 4.0399644479e+00 7.4046006211e+02 5.8223299045e+03 1.5979297560e+04 3.1214347791e+04 5.1527663469e+04 7.6919279811e+04 1.0738920738e+05
25.22000 4.0399325430e+00 7.4154836600e+02 5.8314854097e+03 1.6004587431e+04 3.1263839253e+04 5.1609423730e+04 7.7041376074e+04 1.0755970684e+05
25.24000 4.0399006889e+00 7.4263747005e+02 5.8406481151e+03 1.6029897301e+04 3.1313369915e+04 5.1691248791e+04 7.7163569137e+04 1.0773034151e+05
25.26000 4.0398688856e+00 7.4372737425e+02 5.8498180206e+03 1.6055227172e+04 3.1362939777e+04 5.1773138651e+04 7.7285859000e+04 1.0790111138e+05
25.28000 4.0398371329e+00 7.4481807860e+02 5.8589951262e+03 1.6080577043e+04 3.1412548839e+04 5.1855093313e+04 7.7408245664e+04 1.0807201645e+05
25.30000 4.0398054308e+00 7.4590958310e+02 5.8681794320e+03 1.6105946914e+04 3.1462197102e+04 5.1937112774e+04 7.7530729127e+04 1.0824305671e+05
25.32000 4.0397737790e+00 7.4700188776e+02 5.8773709380e+03 1.6131336786e+04 3.1511884565e+04 5.2019197036e+04 7.7653309391e+04 1.0841423218e+05
25.34000 4.0397421775e+00 7.4809499257e+02 5.8865696441e+03 1.6156746657e+04 3.1561611228e+04 5.2101346098e+04 7.7775986455e+04 1.0858554285e+05
25.36000 4.0397106262e+00 7.4918889753e+02 5.8957755504e+03 1.6182176529e+04 3.1611377091e+04 5.2183559960e+04 7.7898760319e+04 1.0875698872e+05
25.38000 4.0396791249e+00 7.5028360264e+02 5.9049886568e+03 1.6207626401e+04 3.1661182155e+04 5.2265838622e+04 7.8021630984e+04 1.0892856979e+05
25.40000 4.0396476735e+00 7.5137910790e+02 5.9142089634e+03 1.6233096273e+04 3.1711026418e+04 5.2348182085e+04 7.8144598448e+04 1.0910028605e+05
25.42000 4.0396162720e+00 7.5247541331e+02 5.9234364702e+03 1.6258586146e+04 3.1760909882e+04 5.2430590347e+04 7.8267662713e+04 1.0927213752e+05
25.44000 4.0395849201e+00 7.5357251888e+02 5.9326711770e+03 1.6284096018e+04 3.1810832546e+04 5.2513063410e+04 7.8390823778e+04 1.0944412419e+05
25.46000 4.0395536178e+00 7.5467042459e+02 5.9419130841e+03 1.6309625891e+04 3.1860794411e+04 5.2595601274e+04 7.8514081644e+04 1.0961624606e+05
25.48000 4.0395223649e+00 7.5576913045e+02 5.9511621913e+03 1.6335175764e+04 3.1910795475e+04 5.2678203937e+04 7.8637436309e+04 1.0978850313e+05
25.50000 4.0394911613e+00 7.5686863647e+02 5.9604184986e+03 1.6360745638e+04 3.1960835740e+04 5.2760871401e+04 7.8760887775e+04 1.0996089540e+05
25.52000 4.0394600070e+00 7.5796894263e+02 5.9696820061e+03 1.6386335511e+04 3.2010915205e+04 5.2843603665e+04 7.8884436041e+04 1.1013342287e+05
25.54000 4.0394289018e+00 7.5907004894e+02 5.9789527138e+03 1.6411945385e+04 3.2061033870e+04 5.2926400729e+04 7.9008081107e+04 1.1030608554e+05
25.56000 4.0393978455e+00 7.6017195539e+02 5.9882306216e+03 1.6437575259e+04 3.2111191736e+04 5.3009262593e+04 7.9131822973e+04 1.1047888341e+05
25.58000 4.0393668381e+00 7.6127466200e+02 5.9975157295e+03 1.6463225133e+04 3.2161388801e+04 5.3092189257e+04 7.9255661640e+04 1.1065181648e+05
25.60000 4.0393358795e+00 7.6237816875e+02 6.0068080376e+03 1.6488895007e+04 3.2211625067e+04 5.3175180722e+04 7.9379597107e+04 1.1082488475e+05
25.62000 4.0393049695e+00 7.6348247565e+02 6.0161075459e+03 1.6514584882e+04 3.2261900533e+04 5.3258236987e+04 7.9503629374e+04 1.1099808822e+05
25.64000 4.0392741080e+00 7.6458758270e+02 6.0254142543e+03 1.6540294756e+04 3.2312215200e+04 5.3341358052e+04 7.9627758441e+04 1.1117142690e+05
25.66000 4.0392432949e+00 7.6569348989e+02 6.0347281628e+03 1.6566024631e+04 3.2362569066e+04 5.3424543918e+04 7.9751984308e+04 1.1134490077e+05
25.68000 4.0392125301e+00 7.6680019723e+02 6.0440492715e+03 1.6591774506e+04 3.2412962133e+04 5.3507794583e+04 7.9876306976e+04 1.1151850984e+05
25.70000 4.0391818135e+00 7.6790770471e+02 6.0533775804e+03 1.6617544382e+04 3.2463394400e+04 5.3591110049e+04 8.0000726444e+04 1.1169225411e+05
25.72000 4.0391511450e+00 7.6901601234e+02 6.0627130894e+03 1.6643334257e+04 3.2513865867e+04 5.3674490315e+04 8.0125242712e+04 1.1186613358e+05
25.74000 4.0391205244e+00 7.7012512011e+02 6.0720557985e+03 1.6669144133e+04 3.2564376534e+04 5.3757935381e+04 8.0249855780e+04 1.1204014825e+05
25.76000 4.0390899517e+00 7.7123502803e+02 6.0814057078e+03 1.6694974009e+04 3.2614926402e+04 5.3841445248e+04 8.0374565648e+04 1.1221429813e+05
25.78000 4.0390594266e+00 7.7234573610e+02 6.0907628173e+03 1.6720823885e+04 3.2665515470e+04 5.3925019914e+04 8.0499372317e+04 1.1238858320e+05
25.80000 4.0390289492e+00 7.7345724430e+02 6.1001271268e+03 1.6746693761e+04 3.2716143738e+04 5.4008659381e+04 8.0624275786e+04 1.1256300347e+05
25.82000 4.0389985194e+00 7.7456955266e+02 6.1094986366e+03 1.6772583638e+04 3.2766811206e+04 5.4092363648e+04 8.0749276055e+04 1.1273755894e+05
25.84000 4.0389681369e+00 7.7568266115e+02 6.1188773464e+03 1.6798493514e+04 3.2817517875e+04 5.4176132716e+04 8.0874373124e+04 1.1291224962e+05
25.86000 4.0389378016e+00 7.7679656979e+02 6.1282632565e+03 1.6824423391e+04 3.2868263743e+04 5.4259966583e+04 8.0999566993e+04 1.1308707549e+05
25.88000 4.0389075136e+00 7.7791127857e+02 6.1376563666e+03 1.6850373269e+04 3.2919048812e+04 5.4343865251e+04 8.1124857663e+04 1.1326203656e+05
25.90000 4.0388772726e+00 7.7902678749e+02 6.1470566769e+03 1.6876343146e+04 3.2969873081e+04 5.4427828719e+04 8.1250245133e+04 1.1343713284e+05
25.92000 4.0388470786e+00 7.8014309655e+02 6.1564641874e+03 1.6902333023e+04 3.3020736550e+04 5.4511856987e+04 8.1375729403e+04 1.1361236431e+05
25.94000 4.0388169315e+00 7.8126020576e+02 6.1658788980e+03 1.6928342901e+04 3.3071639220e+04 5.4595950055e+04 8.1501310473e+04 1.1378773099e+05
25.96000 4.0387868310e+00 7.8237811511e+02 6.1753008087e+03 1.6954372779e+04 3.3122581090e+04 5.4680107924e+04 8.1626988344e+04 1.1396323286e+05
25.98000 4.0387567772e+00 7.8349682459e+02 6.1847299196e+03 1.6980422657e+04 3.3173562159e+04 5.4764330592e+04 8.1752763014e+04 1.1413886993e+05
26.00000 4.0387267699e+00 7.8461633422e+02 6.1941662307e+03 1.7006492535e+04 3.3224582430e+04 5.4848618061e+04 8.1878634485e+04 1.1431464221e+05
26.02000 4.0386968091e+00 7.8573664399e+02 6.2036097418e+03 1.7032582414e+04 3.3275641900e+04 5.4932970330e+04 8.2004602756e+04 1.1449054968e+05
26.04000 4.0386668945e+00 7.8685775390e+02 6.2130604531e+03 1.7058692292e+04 3.3326740570e+04 5.5017387400e+04 8.2130667827e+04 1.1466659236e+05
26.06000 4.0386370261e+00 7.8797966395e+02 6.2225183646e+03 1.7084822171e+04 3.3377878441e+04 5.5101869269e+04 8.2256829699e+04 1.1484277023e+05
26.08000 4.0386072039e+00 7.8910237414e+02 6.2319834762e+03 1.7110972050e+04 3.3429055512e+04 5.5186415939e+04 8.2383088371e+04 1.1501908331e+05
26.10000 4.0385774276e+00 7.9022588446e+02 6.2414557879e+03 1.7137141930e+04 3.3480271783e+04 5.5271027409e+04 8.2509443842e+04 1.1519553158e+05
26.12000 4.0385476972e+00 7.9135019493e+02 6.2509352998e+03 1.7163331809e+04 3.3531527254e+04 5.5355703679e+04 8.2635896114e+04 1.1537211506e+05
26.14000 4.0385180125e+00 7.9247530553e+02 6.2604220118e+03 1.7189541689e+04 3.3582821926e+04 5.5440444749e+04 8.2762445187e+04 1.1554883374e+05
26.16000 4.0384883735e+00 7.9360121627e+02 6.2699159240e+03 1.7215771569e+04 3.3634155798e+04 5.5525250620e+04 8.2889091059e+04 1.1572568761e+05
26.18000 4.0384587801e+00 7.9472792715e+02 6.2794170363e+03 1.7242021449e+04 3.3685528870e+04 5.5610121291e+04 8.3015833732e+04 1.1590267669e+05
26.20000 4.0384292322e+00 7.9585543817e+02 6.2889253487e+03 1.7268291329e+04 3.3736941142e+04 5.5695056762e+04 8.3142673205e+04 1.1607980097e+05
26.22000 4.0383997295e+00 7.9698374932e+02 6.2984408613e+03 1.7294581209e+04 3.3788392614e+04 5.5780057033e+04 8.3269609478e+04 1.1625706044e+05
26.24000 4.0383702722e+00 7.9811286061e+02 6.3079635740e+03 1.7320891090e+04 3.3839883287e+04 5.5865122104e+04 8.3396642551e+04 1.1643445512e+05
26.26000 4.0383408600e+00 7.9924277204e+02 6.3174934869e+03 1.7347220970e+04 3.3891413159e+04 5.5950251976e+04 8.3523772424e+04 1.1661198500e+05
26.28000 4.0383114928e+00 8.0037348360e+02 6.3270305999e+03 1.7373570851e+04 3.3942982232e+04 5.6035446648e+04 8.3650999098e+04 1.1678965007e+05
26.30000 4.0382821706e+00 8.0150499530e+02 6.3365749130e+03 1.7399940733e+04 3.3994590505e+04 5.6120706120e+04 8.3778322572e+04 1.1696745035e+05
26.32000 4.0382528931e+00 8.0263730714e+02 6.3461264263e+03 1.7426330614e+04 3.4046237979e+04 5.6206030392e+04 8.3905742846e+04 1.1714538583e+05
26.34000 4.0382236605e+00 8.0377041911e+02 6.3556851397e+03 1.7452740495e+04 3.4097924652e+04 5.6291419464e+04 8.4033259920e+04 1.1732345651e+05
26.36000 4.0381944724e+00 8.0490433121e+02 6.3652510533e+03 1.7479170377e+04 3.4149650526e+04 5.6376873337e+04 8.4160873794e+04 1.1750166238e+05
26.38000 4.0381653289e+00 8.0603904345e+02 6.3748241669e+03 1.7505620259e+04 3.4201415600e+04 5.6462392009e+04 8.4288584469e+04 1.1768000346e+05
26.40000 4.0381362298e+00 8.0717455583e+02 6.3844044808e+03 1.7532090141e+04 3.4253219874e+04 5.6547975482e+04 8.4416391943e+04 1.1785847974e+05
26.42000 4.0381071750e+00 8.0831086833e+02 6.3939919947e+03 1.7558580023e+04 3.4305063348e+04 5.6633623755e+04 8.4544296218e+04 1.1803709122e+05
26.44000 4.0380781645e+00 8.0944798097e+02 6.4035867088e+03 1.7585089906e+04 3.4356946023e+04 5.6719336829e+04 8.4672297293e+04 1.1821583790e+05
26.46000 4.0380491980e+00 8.1058589375e+02 6.4131886230e+03 1.7611619788e+04 3.4408867898e+04 5.6805114702e+04 8.4800395169e+04 1.1839471978e+05
26.48000 4.0380202756e+00 8.1172460666e+02 6.4227977374e+03 1.7638169671e+04 3.4460828972e+04 5.6890957376e+04 8.4928589844e+04 1.1857373686e+05
26.50000 4.0379913971e+00 8.1286411970e+02 6.4324140519e+03 1.7664739554e+04 3.4512829248e+04 5.6976864850e+04 8.5056881320e+04 1.1875288913e+05
26.52000 4.0379625625e+00 8.1400443287e+02 6.4420375665e+03 1.7691329437e+04 3.4564868723e+04 5.7062837124e+04 8.5185269596e+04 1.1893217661e+05
26.54000 4.0379337715e+00 8.1514554617e+02 6.4516682813e+03 1.7717939321e+04 3.4616947398e+04 5.7148874198e+04 8.5313754672e+04 1.1911159929e+05
26.56000 4.0379050242e+00 8.1628745961e+02 6.4613061962e+03 1.7744569204e+04 3.4669065274e+04 5.7234976073e+04 8.5442336548e+04 1.1929115717e+05
26.58000 4.0378763204e+00 8.1743017318e+02 6.4709513112e+03 1.7771219088e+04 3.4721222350e+04 5.7321142748e+04 8.5571015225e+04 1.1947085025e+05
26.60000 4.0378476600e+00 8.1857368688e+02 6.4806036264e+03 1.7797888972e+04 3.4773418626e+04 5.7407374222e+04 8.5699790701e+04 1.1965067853e+05
26.62000 4.0378190429e+00 8.1971800071e+02 6.4902631417e+03 1.7824578856e+04 3.4825654102e+04 5.7493670498e+04 8.5828662978e+04 1.1983064201e+05
26.64000 4.0377904691e+00 8.2086311467e+02 6.4999298571e+03 1.7851288740e+04 3.4877928779e+04 5.7580031573e+04 8.5957632055e+04 1.2001074069e+05
26.66000 4.0377619384e+00 8.2200902876e+02 6.5096037727e+03 1.7878018625e+04 3.4930242655e+04 5.7666457448e+04 8.6086697932e+04 1.2019097457e+05
26.68000 4.0377334507e+00 8.2315574298e+02 6.5192848884e+03 1.7904768509e+04 3.4982595732e+04 5.7752948124e+04 8.6215860610e+04 1.2037134366e+05
26.70000 4.0377050060e+00 8.2430325733e+02 6.5289732042e+03 1.7931538394e+04 3.5034988009e+04 5.7839503600e+04 8.6345120087e+04 1.2055184794e+05
26.72000 4.0376766041e+00 8.2545157181e+02 6.5386687202e+03 1.7958328279e+04 3.5087419486e+04 5.7926123876e+04 8.6474476365e+04 1.2073248742e+05
26.74000 4.0376482449e+00 8.2660068642e+02 6.5483714362e+03 1.7985138164e+04 3.5139890164e+04 5.8012808952e+04 8.6603929443e+04 1.2091326210e+05
26.76000 4.0376199284e+00 8.2775060116e+02 6.5580813525e+03 1.8011968050e+04 3.5192400041e+04 5.8099558828e+04 8.6733479321e+04 1.2109417198e+05
26.78000 4.0375916545e+00 8.2890131603e+02 6.5677984688e+03 1.8038817935e+04 3.5244949119e+04 5.8186373505e+04 8.6863125999e+04 1.2127521706e+05
26.80000 4.0375634229e+00 8.3005283102e+02 6.5775227853e+03 1.8065687821e+04 3.5297537397e+04 5.8273252982e+04 8.6992869478e+04 1.2145639734e+05
26.82000 4.0375352338e+00 8.3120514614e+02 6.5872543019e+03 1.8092577707e+04 3.5350164875e+04 5.8360197259e+04 8.7122709756e+04 1.2163771283e+05
26.84000 4.0375070869e+00 8.3235826139e+02 6.5969930186e+03 1.8119487593e+04 3.5402831553e+04 5.8447206336e+04 8.7252646835e+04 1.2181916351e+05
26.86000 4.0374789822e+00 8.3351217677e+02 6.6067389355e+03 1.8146417479e+04 3.5455537432e+04 5.8534280213e+04 8.7382680714e+04 1.2200074939e+05
26.88000 4.0374509195e+00 8.3466689228e+02 6.6164920525e+03 1.8173367365e+04 3.5508282511e+04 5.8621418891e+04 8.7512811393e+04 1.2218247047e+05
26.90000 4.0374228988e+00 8.3582240791e+02 6.6262523696e+03 1.8200337252e+04 3.5561066790e+04 5.8708622368e+04 8.7643038873e+04 1.2236432676e+05
26.92000 4.0373949200e+00 8.3697872367e+02 6.6360198869e+03 1.8227327139e+04 3.5613890269e+04 5.8795890646e+04 8.7773363152e+04 1.2254631824e+05
26.94000 4.0373669830e+00 8.3813583955e+02 6.6457946043e+03 1.8254337026e+04 3.5666752948e+04 5.8883223724e+04 8.7903784232e+04 1.2272844492e+05
26.96000 4.0373390877e+00 8.3929375556e+02 6.6555765218e+03 1.8281366913e+04 3.5719654827e+04 5.8970621603e+04 8.8034302112e+04 1.2291070681e+05
26.98000 4.0373112340e+00 8.4045247170e+02 6.6653656394e+03 1.8308416800e+04 3.5772595907e+04 5.9058084281e+04 8.8164916792e+04 1.2309310389e+05
27.00000 4.0372834218e+00 8.4161198796e+02 6.6751619572e+03 1.8335486687e+04 3.5825576187e+04 5.9145611760e+04 8.8295628272e+04 1.2327563617e+05
27.02000 4.0372556511e+00 8.4277230435e+02 6.6849654751e+03 1.8362576575e+04 3.5878595667e+04 5.9233204039e+04 8.8426436553e+04 1.2345830366e+05
27.04000 4.0372279216e+00 8.4393342086e+02 6.6947761931e+03 1.8389686463e+04 3.5931654347e+04 5.9320861117e+04 8.8557341633e+04 1.2364110634e+05
27.06000 4.0372002334e+00 8.4509533750e+02 6.7045941112e+03 1.8416816351e+04 3.5984752227e+04 5.9408582997e+04 8.8688343514e+04 1.2382404422e+05
27.08000 4.0371725863e+00 8.4625805426e+02 6.7144192295e+03 1.8443966239e+04 3.6037889308e+04 5.9496369676e+04 8.8819442195e+04 1.2400711731e+05
27.10000 4.0371449803e+00 8.4742157114e+02 6.7242515479e+03 1.8471136127e+04 3.6091065588e+04 5.9584221156e+04 8.8950637676e+04 1.2419032559e+05
27.12000 4.0371174152e+00 8.4858588815e+02 6.7340910664e+03 1.8498326016e+04 3.6144281069e+04 5.9672137435e+04 8.9081929958e+04 1.2437366908e+05
27.14000 4.0370898910e+00 8.4975100529e+02 6.7439377851e+03 1.8525535904e+04 3.6197535750e+04 5.9760118515e+04 8.9213319039e+04 1.2455714776e+05
