# Frequencies with alpha minimum = 0.75
#  # 	 nu (muHz) 	 err 	 amp 	 err 	 phase 	 err 	 p-value 	 deviation
37 6.7344087452e-01 2.5805457154e-04 8.6349827346e+00 5.1348755420e-01 9.3677361419e-01 5.9465961888e-02 6.8632776726e-138 1.0132924555e+00
38 2.8688250079e+01 2.2155400921e-04 8.5063472289e+00 4.3428978164e-01 -2.6647649867e+00 5.1054791199e-02 2.1460964742e-132 1.0896135193e+00
40 2.6778942121e+01 1.9701270883e-04 8.4250384006e+00 3.8249258683e-01 -1.8403567855e+00 4.5399506643e-02 1.1329434285e-119 1.1022895189e+00
41 2.9205871148e+01 2.5076538870e-04 7.0526301952e+00 4.0754502601e-01 1.4834002140e+00 5.7786246369e-02 3.1422182200e-115 9.5190801511e-01
42 7.8927858448e+00 2.2464676614e-04 7.4618123618e+00 3.8627925583e-01 1.2156944824e+00 5.1767484507e-02 2.7330171007e-101 9.7539841014e-01
43 5.9184841214e+00 2.8618247251e-04 7.6303798763e+00 5.0320631451e-01 1.6682182274e+00 6.5947740829e-02 1.1704804185e-100 9.2815352762e-01
44 8.8115994104e-01 2.8864746035e-04 7.9799789934e+00 5.3079445811e-01 -7.5749414909e-02 6.6515771352e-02 1.7740211545e-96 1.2349243072e+00
45 2.7964567139e+01 2.5211526632e-04 7.8620103609e+00 4.5676166471e-01 4.1906281303e-01 5.8097311468e-02 1.3465192525e-96 1.2335209387e+00
46 2.7906417050e+01 2.6403083136e-04 7.4636117843e+00 4.5410948795e-01 2.7484602552e+00 6.0843128109e-02 3.7951823305e-100 1.2205037105e+00
47 1.0712958225e+01 2.0521287193e-04 7.4119481739e+00 3.5050471405e-01 -1.5239278253e+00 4.7289147984e-02 4.9765807950e-94 1.0599161355e+00
48 2.7024301571e+01 2.5433630493e-04 7.1747168518e+00 4.2050388725e-01 -6.9695837930e-01 5.8609126455e-02 7.0901319070e-93 1.2847343413e+00
49 6.5120379860e-01 3.4220573850e-04 6.4901854396e+00 5.1180118230e-01 -3.0985897015e+00 7.8857713245e-02 1.6017627331e-88 9.5141181044e-01
51 3.6542816365e-01 2.9866142989e-04 7.0904844857e+00 4.8799114579e-01 -8.5438557321e-01 6.8823385309e-02 3.7946718479e-84 1.0353205374e+00
53 7.9298556846e-01 3.3042867666e-04 6.7414515216e+00 5.1331982542e-01 2.0508518788e+00 7.6143813209e-02 2.9925481726e-80 1.0662319750e+00
55 2.3302029903e+01 2.0740588633e-04 6.4572707005e+00 3.0862205734e-01 -2.7419496431e+00 4.7794505087e-02 8.6466880883e-81 1.0711476558e+00
56 5.8686938613e+01 1.7844117534e-04 6.4419958943e+00 2.6489417596e-01 -3.0397226437e+00 4.1119892080e-02 5.1229663217e-79 8.2061434278e-01
57 5.6510897008e+01 1.8705612908e-04 6.2136890063e+00 2.6784179509e-01 2.6111029827e+00 4.3105117559e-02 5.8234419373e-75 1.0491948851e+00
58 2.8090212382e+01 3.5669021548e-04 5.4115449403e+00 4.4480468881e-01 -1.8381295606e+00 8.2195508623e-02 5.6611013655e-75 9.1055811401e-01
59 2.9279432833e+01 2.7042817278e-04 6.4125961851e+00 3.9961586078e-01 -2.0655346391e-01 6.2317328153e-02 1.4158330502e-74 1.0890477652e+00
60 1.0702138572e+00 3.6346194433e-04 6.7497868980e+00 5.6533503205e-01 -3.0735325811e-01 8.3755982313e-02 5.3234272632e-75 1.2675156443e+00
61 3.2202376195e+01 1.9312335187e-04 6.0522464179e+00 2.6934460657e-01 1.5597778119e+00 4.4503245238e-02 5.3320327525e-74 7.8549460415e-01
62 1.1149214766e+00 3.9550586109e-04 6.0968730664e+00 5.5567002277e-01 1.8317418924e+00 9.1140165905e-02 1.6660035118e-72 9.9454966544e-01
63 1.6833707317e+01 2.2064526808e-04 5.9949314516e+00 3.0481457591e-01 4.0710787893e-01 5.0845381364e-02 6.7071772123e-73 8.9118224942e-01
64 2.8294592383e+01 3.1512107177e-04 6.2371203031e+00 4.5291682775e-01 -1.0673848062e+00 7.2616336664e-02 1.9093192520e-71 9.1914554908e-01
65 2.2407423263e+01 2.4241150141e-04 5.7625659526e+00 3.2190373916e-01 -1.8626884063e-01 5.5861180906e-02 4.1466124722e-70 9.2195149942e-01
66 5.5683580687e+01 2.1560281598e-04 5.6526913462e+00 2.8084493264e-01 -2.4457987302e+00 4.9683401312e-02 7.6928933186e-68 9.4261363787e-01
67 2.7257719258e+01 3.0170496320e-04 6.4067275309e+00 4.4542603732e-01 1.8652457699e+00 6.9524735549e-02 1.3658783723e-66 1.2996350938e+00
68 2.7597689771e+01 3.7193597908e-04 5.4970001084e+00 4.7114092282e-01 -1.3725914002e+00 8.5708734495e-02 6.7092367148e-67 8.1080329594e-01
69 6.4813893409e+00 3.3508991868e-04 5.5180863430e+00 4.2609530102e-01 1.0945571447e+00 7.7217947408e-02 7.8617991969e-66 7.8786870964e-01
73 2.3996895682e+01 2.3649101682e-04 5.4582078879e+00 2.9745523206e-01 2.9596430757e+00 5.4496867501e-02 1.5621386192e-66 8.4370664433e-01
74 2.6986376181e+01 3.3249434240e-04 5.3812563153e+00 4.1231091260e-01 1.4853915392e-01 7.6619824154e-02 1.5248095787e-64 9.8096260841e-01
78 2.9483769587e+01 2.9747699210e-04 5.7145641252e+00 3.9173590849e-01 1.4684346822e+00 6.8550444076e-02 2.1383268467e-64 1.0913037976e+00
81 4.7595955573e+01 1.8491265833e-04 5.3334986600e+00 2.2726665687e-01 1.0736921821e+00 4.2611177270e-02 2.4425849417e-61 9.7623505697e-01
82 5.7568125445e+01 1.9877148172e-04 5.3942145289e+00 2.4708090340e-01 -3.0957887531e+00 4.5804797358e-02 6.3078578435e-61 8.2207304125e-01
84 3.0943258237e-02 3.8853427100e-04 5.3919793161e+00 4.8276351499e-01 9.4827989266e-01 8.9533636293e-02 4.1893076551e-58 9.7780528191e-01
85 6.1909631685e+01 1.9211697839e-04 5.2220726920e+00 2.3118814027e-01 -4.5842661706e-01 4.4271337054e-02 3.7629168683e-58 1.0953809452e+00
86 5.5936774937e+01 2.3602838974e-04 5.1488763963e+00 2.8004872568e-01 5.6595012851e-01 5.4390259958e-02 1.2211676914e-56 7.9357094945e-01
89 2.7447611488e+01 4.0278890654e-04 4.9210214178e+00 4.5676166471e-01 -2.3282809828e+00 9.2818467128e-02 1.6751557141e-55 9.3581579536e-01
97 5.2166592315e-01 4.3707347271e-04 4.8772870869e+00 4.9123540402e-01 1.3142228610e+00 1.0071898481e-01 2.6070094768e-57 1.0922015754e+00
99 2.2752671119e+01 2.8415119429e-04 4.7898183597e+00 3.1363564953e-01 -3.1085696951e+00 6.5479654128e-02 1.7623485633e-52 8.8067369193e-01
106 1.8790083845e+01 2.3778659284e-04 4.6263367252e+00 2.5350206100e-01 1.9480776873e+00 5.4795419369e-02 6.2892996196e-47 1.0625037900e+00
109 2.5941950642e+01 3.3897430620e-04 4.2427413849e+00 3.3141352788e-01 1.4350767952e-01 7.8113063659e-02 4.3419307239e-46 8.9841772257e-01
110 2.1607466051e+01 3.1293892972e-04 4.3649335785e+00 3.1477057205e-01 2.0317282251e+00 7.2113484979e-02 3.7862307202e-46 1.1779497183e+00
111 2.6795882053e+01 3.5160439751e-04 4.7843667409e+00 3.8764630782e-01 -2.5042418126e+00 8.1023535361e-02 1.1951732224e-44 1.2560756537e+00
